pointA,pointB,layer_name,origin-insertion,origin,insertion
"[995, 900, 1994]","[1354, 1021, 2007]",LH ThCo 1,ThCo,Th,Co
"[1001, 892, 2001]","[1355, 1018, 2004]",LH ThCo 1,ThCo,Th,Co
"[1013, 901, 2008]","[1354, 1013, 2006]",LH ThCo 1,ThCo,Th,Co
"[990, 913, 1993]","[1343, 1019, 2013]",LH ThCo 1,ThCo,Th,Co
"[1015, 912, 2008]","[1355, 1010, 2011]",LH ThCo 1,ThCo,Th,Co
"[1009, 924, 2010]","[1338, 1003, 2016]",LH ThCo 1,ThCo,Th,Co
"[1011, 940, 2020]","[1339, 1004, 2020]",LH ThCo 1,ThCo,Th,Co
"[996, 928, 2003]","[1328, 1008, 2018]",LH ThCo 1,ThCo,Th,Co
"[1362, 1113, 1876]","[1442, 1086, 2019]",LH ThCo 2,ThCo,Th,Co
"[1346, 1108, 1876]","[1426, 1058, 2022]",LH ThCo 2,ThCo,Th,Co
"[1331, 1121, 1881]","[1436, 1065, 2026]",LH ThCo 2,ThCo,Th,Co
"[1336, 1092, 1883]","[1411, 1050, 2014]",LH ThCo 2,ThCo,Th,Co
"[1323, 1124, 1897]","[1405, 1042, 2018]",LH ThCo 2,ThCo,Th,Co
"[1344, 1134, 1873]","[1466, 1103, 2040]",LH ThCo 2,ThCo,Th,Co
"[1377, 1136, 1885]","[1479, 1123, 2040]",LH ThCo 2,ThCo,Th,Co
"[1348, 1155, 1871]","[1479, 1131, 2040]",LH ThCo 2,ThCo,Th,Co
"[1324, 1168, 1878]","[1493, 1131, 2055]",LH ThCo 2,ThCo,Th,Co
"[1321, 1152, 1889]","[1457, 1082, 2038]",LH ThCo 2,ThCo,Th,Co
"[1325, 1192, 1878]","[1495, 1156, 2052]",LH ThCo 2,ThCo,Th,Co
"[1353, 1179, 1876]","[1491, 1185, 2053]",LH ThCo 2,ThCo,Th,Co
"[1376, 1163, 1890]","[1486, 1173, 2042]",LH ThCo 2,ThCo,Th,Co
"[1370, 1188, 1884]","[1476, 1191, 2040]",LH ThCo 2,ThCo,Th,Co
"[1162, 1160, 1910]","[1337, 1107, 2215]",LH ThCo 3,ThCo,Th,Co
"[1164, 1141, 1909]","[1333, 1095, 2206]",LH ThCo 3,ThCo,Th,Co
"[1182, 1146, 1935]","[1349, 1092, 2234]",LH ThCo 3,ThCo,Th,Co
"[1204, 1157, 1959]","[1357, 1110, 2236]",LH ThCo 3,ThCo,Th,Co
"[1174, 1173, 1921]","[1338, 1121, 2211]",LH ThCo 3,ThCo,Th,Co
"[1194, 1173, 1947]","[1361, 1129, 2238]",LH ThCo 3,ThCo,Th,Co
"[1186, 1192, 1936]","[1352, 1135, 2234]",LH ThCo 3,ThCo,Th,Co
"[1246, 1159, 2015]","[1352, 1147, 2218]",LH ThCo 3,ThCo,Th,Co
"[1226, 1183, 1984]","[1345, 1156, 2200]",LH ThCo 3,ThCo,Th,Co
"[1271, 1163, 2043]","[1366, 1135, 2220]",LH ThCo 3,ThCo,Th,Co
"[1213, 1203, 1960]","[1344, 1165, 2193]",LH ThCo 3,ThCo,Th,Co
"[1257, 1196, 2020]","[1351, 1173, 2196]",LH ThCo 3,ThCo,Th,Co
"[1276, 1202, 2034]","[1350, 1183, 2182]",LH ThCo 3,ThCo,Th,Co
"[1301, 1208, 2053]","[1357, 1192, 2187]",LH ThCo 3,ThCo,Th,Co
"[1289, 1172, 2053]","[1365, 1155, 2225]",LH ThCo 3,ThCo,Th,Co
"[1312, 1179, 2068]","[1370, 1162, 2216]",LH ThCo 3,ThCo,Th,Co
"[1327, 1191, 2077]","[1372, 1176, 2214]",LH ThCo 3,ThCo,Th,Co
"[1334, 1204, 2082]","[1371, 1194, 2208]",LH ThCo 3,ThCo,Th,Co
"[1339, 1213, 2085]","[1364, 1200, 2186]",LH ThCo 3,ThCo,Th,Co
"[1351, 1199, 2093]","[1381, 1179, 2202]",LH ThCo 3,ThCo,Th,Co
"[1356, 1212, 2098]","[1378, 1204, 2207]",LH ThCo 3,ThCo,Th,Co
"[1375, 1206, 2110]","[1381, 1196, 2203]",LH ThCo 3,ThCo,Th,Co
"[1355, 1229, 2097]","[1371, 1203, 2206]",LH ThCo 3,ThCo,Th,Co
"[1374, 1227, 2111]","[1376, 1208, 2189]",LH ThCo 3,ThCo,Th,Co
"[1391, 1227, 2125]","[1382, 1209, 2192]",LH ThCo 3,ThCo,Th,Co
"[1395, 1218, 2127]","[1391, 1199, 2192]",LH ThCo 3,ThCo,Th,Co
"[1207, 1046, 2022]","[1170, 1112, 1960]",LH ThCo? 4,ThCo?,Th,Co?
"[1181, 1053, 2010]","[1147, 1111, 1930]",LH ThCo? 4,ThCo?,Th,Co?
"[1207, 1054, 2022]","[1176, 1110, 1978]",LH ThCo? 4,ThCo?,Th,Co?
"[1176, 1066, 2015]","[1151, 1108, 1962]",LH ThCo? 4,ThCo?,Th,Co?
"[1159, 1057, 2003]","[1121, 1110, 1896]",LH ThCo? 4,ThCo?,Th,Co?
"[1151, 1067, 2006]","[1124, 1111, 1925]",LH ThCo? 4,ThCo?,Th,Co?
"[1139, 1058, 2004]","[1112, 1101, 1901]",LH ThCo? 4,ThCo?,Th,Co?
"[1125, 1050, 2010]","[1109, 1104, 1909]",LH ThCo? 4,ThCo?,Th,Co?
"[663, 867, 2094]","[1306, 1096, 2025]",LH tergotrochanter,tergotrochanter,te,rgotrochanter
"[659, 873, 2109]","[1262, 1078, 2010]",LH tergotrochanter,tergotrochanter,te,rgotrochanter
"[651, 879, 2125]","[1323, 1106, 2035]",LH tergotrochanter,tergotrochanter,te,rgotrochanter
"[658, 891, 2125]","[1179, 1032, 1982]",LH tergotrochanter,tergotrochanter,te,rgotrochanter
"[652, 895, 2137]","[1192, 1043, 1987]",LH tergotrochanter,tergotrochanter,te,rgotrochanter
"[645, 899, 2147]","[1273, 1089, 2019]",LH tergotrochanter,tergotrochanter,te,rgotrochanter
"[644, 908, 2147]","[1230, 1067, 2005]",LH tergotrochanter,tergotrochanter,te,rgotrochanter
"[1029, 900, 2037]","[1473, 1084, 2241]",LH ThTr 2,ThTr,Th,Tr
"[1027, 916, 2035]","[1468, 1090, 2244]",LH ThTr 2,ThTr,Th,Tr
"[1090, 940, 2037]","[1475, 1074, 2230]",LH ThTr 2,ThTr,Th,Tr
"[1099, 997, 2027]","[1446, 1055, 2200]",LH ThTr 2,ThTr,Th,Tr
"[1053, 952, 2035]","[1442, 1070, 2210]",LH ThTr 2,ThTr,Th,Tr
"[1067, 981, 2038]","[1460, 1096, 2242]",LH ThTr 2,ThTr,Th,Tr
"[1129, 1029, 2022]","[1426, 1066, 2196]",LH ThTr 2,ThTr,Th,Tr
"[1121, 1041, 2021]","[1442, 1085, 2219]",LH ThTr 2,ThTr,Th,Tr
"[1191, 917, 2020]","[1424, 1034, 2172]",LH ThTr 3 (same as 2?),ThTr,Th,Tr
"[1135, 902, 2011]","[1399, 1029, 2159]",LH ThTr 3 (same as 2?),ThTr,Th,Tr
"[1089, 923, 2034]","[1407, 1046, 2178]",LH ThTr 3 (same as 2?),ThTr,Th,Tr
"[1110, 917, 2046]","[1409, 1038, 2176]",LH ThTr 3 (same as 2?),ThTr,Th,Tr
"[1105, 902, 2036]","[1399, 1039, 2167]",LH ThTr 3 (same as 2?),ThTr,Th,Tr
"[1096, 1072, 1765]","[1396, 1133, 2061]",LH ThTr 4,ThTr,Th,Tr
"[1082, 1072, 1772]","[1323, 1110, 2032]",LH ThTr 4,ThTr,Th,Tr
"[1098, 1087, 1777]","[1353, 1119, 2043]",LH ThTr 4,ThTr,Th,Tr
"[1085, 1079, 1792]","[1328, 1122, 2035]",LH ThTr 4,ThTr,Th,Tr
"[1086, 1083, 1819]","[1438, 1150, 2110]",LH ThTr 4,ThTr,Th,Tr
"[1098, 1090, 1846]","[1497, 1189, 2179]",LH ThTr 4,ThTr,Th,Tr
"[1127, 1104, 1870]","[1388, 1152, 2084]",LH ThTr 4,ThTr,Th,Tr
"[1144, 1106, 1863]","[1469, 1172, 2137]",LH ThTr 4,ThTr,Th,Tr
"[1115, 1105, 1826]","[1427, 1149, 2093]",LH ThTr 4,ThTr,Th,Tr
"[1093, 1096, 1790]","[1404, 1140, 2070]",LH ThTr 4,ThTr,Th,Tr
"[1106, 1087, 1805]","[1370, 1134, 2053]",LH ThTr 4,ThTr,Th,Tr
"[1155, 1122, 1875]","[1456, 1166, 2108]",LH ThTr 4,ThTr,Th,Tr
"[1102, 1084, 1761]","[1445, 1154, 2096]",LH ThTr 4,ThTr,Th,Tr
"[1108, 1114, 1829]","[1526, 1209, 2157]",LH ThTr 4,ThTr,Th,Tr
"[1090, 1104, 1787]","[1532, 1203, 2139]",LH ThTr 4,ThTr,Th,Tr
"[1097, 1098, 1765]","[1502, 1190, 2123]",LH ThTr 4,ThTr,Th,Tr
"[1213, 1164, 1942]","[1505, 1197, 2155]",LH ThTr 5 (same as 4?),ThTr,Th,Tr
"[1237, 1173, 1982]","[1481, 1186, 2130]",LH ThTr 5 (same as 4?),ThTr,Th,Tr
"[1210, 1152, 1953]","[1468, 1176, 2120]",LH ThTr 5 (same as 4?),ThTr,Th,Tr
"[1243, 1157, 2000]","[1496, 1193, 2165]",LH ThTr 5 (same as 4?),ThTr,Th,Tr
"[1367, 999, 2036]","[1495, 1040, 2201]",LH CoTr 1,CoTr,Co,Tr
"[1382, 992, 2044]","[1519, 1048, 2216]",LH CoTr 1,CoTr,Co,Tr
"[1403, 1004, 2040]","[1503, 1056, 2220]",LH CoTr 1,CoTr,Co,Tr
"[1369, 1012, 2023]","[1484, 1055, 2210]",LH CoTr 1,CoTr,Co,Tr
"[1377, 1024, 2018]","[1470, 1070, 2220]",LH CoTr 1,CoTr,Co,Tr
"[1371, 981, 2058]","[1464, 1029, 2173]",LH CoTr 1,CoTr,Co,Tr
"[1353, 986, 2051]","[1446, 1036, 2175]",LH CoTr 1,CoTr,Co,Tr
"[1342, 986, 2065]","[1434, 1029, 2167]",LH CoTr 1,CoTr,Co,Tr
"[1347, 1004, 2035]","[1447, 1069, 2207]",LH CoTr 1,CoTr,Co,Tr
"[1338, 1001, 2049]","[1431, 1049, 2188]",LH CoTr 1,CoTr,Co,Tr
"[1346, 968, 2075]","[1500, 1056, 2220]",LH CoTr 1,CoTr,Co,Tr
"[1352, 987, 2137]","[1519, 1065, 2246]",LH CoTr 1,CoTr,Co,Tr
"[1460, 1036, 2055]","[1539, 1061, 2241]",LH CoTr 1,CoTr,Co,Tr
"[1447, 1058, 2042]","[1485, 1076, 2233]",LH CoTr 1,CoTr,Co,Tr
"[1477, 1061, 2054]","[1519, 1065, 2239]",LH CoTr 1,CoTr,Co,Tr
"[1468, 1070, 2047]","[1507, 1076, 2241]",LH CoTr 1,CoTr,Co,Tr
"[1461, 1079, 2046]","[1472, 1094, 2245]",LH CoTr 1,CoTr,Co,Tr
"[1503, 1068, 2079]","[1535, 1078, 2264]",LH CoTr 1,CoTr,Co,Tr
"[1487, 1102, 2057]","[1491, 1089, 2251]",LH CoTr 1,CoTr,Co,Tr
"[1519, 1111, 2078]","[1526, 1095, 2268]",LH CoTr 1,CoTr,Co,Tr
"[1505, 1121, 2066]","[1512, 1091, 2266]",LH CoTr 1,CoTr,Co,Tr
"[1357, 1036, 2018]","[1536, 1196, 2153]",LH CoTr 2,CoTr,Co,Tr
"[1358, 1030, 2018]","[1544, 1190, 2169]",LH CoTr 2,CoTr,Co,Tr
"[1339, 1020, 2028]","[1539, 1181, 2184]",LH CoTr 2,CoTr,Co,Tr
"[1327, 1027, 2032]","[1502, 1183, 2166]",LH CoTr 2,CoTr,Co,Tr
"[1326, 1015, 2046]","[1516, 1176, 2190]",LH CoTr 2,CoTr,Co,Tr
"[1321, 1018, 2054]","[1496, 1169, 2196]",LH CoTr 2,CoTr,Co,Tr
"[1315, 1029, 2044]","[1495, 1181, 2185]",LH CoTr 2,CoTr,Co,Tr
"[1348, 999, 2195]","[1453, 1098, 2279]",LH CoTr 3,CoTr,Co,Tr
"[1352, 1021, 2224]","[1450, 1108, 2290]",LH CoTr 3,CoTr,Co,Tr
"[1358, 1049, 2232]","[1471, 1121, 2300]",LH CoTr 3,CoTr,Co,Tr
"[1364, 1078, 2240]","[1458, 1123, 2298]",LH CoTr 3,CoTr,Co,Tr
"[1366, 1096, 2239]","[1468, 1130, 2304]",LH CoTr 3,CoTr,Co,Tr
"[1370, 1113, 2228]","[1471, 1106, 2291]",LH CoTr 3,CoTr,Co,Tr
"[1370, 1121, 2235]","[1467, 1140, 2311]",LH CoTr 3,CoTr,Co,Tr
"[1375, 1135, 2228]","[1468, 1143, 2311]",LH CoTr 3,CoTr,Co,Tr
"[1382, 1151, 2216]","[1481, 1115, 2294]",LH CoTr 3,CoTr,Co,Tr
"[1386, 1170, 2215]","[1478, 1139, 2310]",LH CoTr 3,CoTr,Co,Tr
"[1372, 1189, 2236]","[1487, 1209, 2251]",LH CoTr 4,CoTr,Co,Tr
"[1396, 1196, 2213]","[1507, 1215, 2241]",LH CoTr 4,CoTr,Co,Tr
"[1429, 1213, 2210]","[1524, 1221, 2242]",LH CoTr 4,CoTr,Co,Tr
"[1424, 1207, 2189]","[1530, 1222, 2238]",LH CoTr 4,CoTr,Co,Tr
"[1427, 1214, 2173]","[1529, 1222, 2233]",LH CoTr 4,CoTr,Co,Tr
"[1444, 1214, 2160]","[1535, 1221, 2229]",LH CoTr 4,CoTr,Co,Tr
"[1544, 1143, 2092]","[1589, 1174, 2204]",LH CoTr 5,CoTr,Co,Tr
"[1541, 1101, 2114]","[1589, 1157, 2202]",LH CoTr 5,CoTr,Co,Tr
"[1537, 1072, 2132]","[1591, 1160, 2211]",LH CoTr 5,CoTr,Co,Tr
"[1526, 1074, 2139]","[1579, 1178, 2219]",LH CoTr 5,CoTr,Co,Tr
"[1558, 1077, 2168]","[1594, 1159, 2227]",LH CoTr 5,CoTr,Co,Tr
"[1554, 1066, 2190]","[1582, 1144, 2235]",LH CoTr 5,CoTr,Co,Tr
"[1608, 1187, 2234]","[1612, 1141, 2329]",LH TrFe,TrFe,Tr,Fe
"[1592, 1213, 2234]","[1605, 1149, 2332]",LH TrFe,TrFe,Tr,Fe
"[1606, 1224, 2258]","[1606, 1147, 2343]",LH TrFe,TrFe,Tr,Fe
"[1577, 1236, 2266]","[1593, 1154, 2346]",LH TrFe,TrFe,Tr,Fe
"[1571, 1220, 2232]","[1596, 1155, 2337]",LH TrFe,TrFe,Tr,Fe
"[1556, 1227, 2241]","[1581, 1160, 2338]",LH TrFe,TrFe,Tr,Fe
"[1542, 1203, 2235]","[1591, 1141, 2364]",LH TrFe,TrFe,Tr,Fe
"[1578, 1166, 2231]","[1613, 1129, 2352]",LH TrFe,TrFe,Tr,Fe
"[1562, 1168, 2241]","[1609, 1134, 2356]",LH TrFe,TrFe,Tr,Fe
"[1556, 1151, 2256]","[1605, 1123, 2384]",LH TrFe,TrFe,Tr,Fe
"[1557, 1132, 2266]","[1619, 1106, 2397]",LH TrFe,TrFe,Tr,Fe
"[1578, 1135, 2249]","[1619, 1116, 2364]",LH TrFe,TrFe,Tr,Fe
"[1616, 1131, 2269]","[1626, 1109, 2357]",LH TrFe,TrFe,Tr,Fe
"[1594, 1095, 2285]","[1627, 1099, 2385]",LH TrFe,TrFe,Tr,Fe
"[1575, 1093, 2311]","[1622, 1094, 2400]",LH TrFe,TrFe,Tr,Fe
"[1533, 1223, 2261]","[1572, 1167, 2341]",LH TrFe,TrFe,Tr,Fe
"[1521, 1201, 2261]","[1580, 1143, 2371]",LH TrFe,TrFe,Tr,Fe
"[1550, 1232, 2295]","[1582, 1156, 2352]",LH TrFe,TrFe,Tr,Fe
"[1574, 1226, 2314]","[1599, 1130, 2385]",LH TrFe,TrFe,Tr,Fe
"[1600, 1228, 2301]","[1610, 1123, 2385]",LH TrFe,TrFe,Tr,Fe
"[1624, 1211, 2301]","[1615, 1123, 2372]",LH TrFe,TrFe,Tr,Fe
"[1633, 1184, 2294]","[1624, 1119, 2364]",LH TrFe,TrFe,Tr,Fe
"[1625, 1209, 2336]","[1628, 1113, 2403]",LH TrFe,TrFe,Tr,Fe
"[1602, 1210, 2351]","[1617, 1109, 2414]",LH TrFe,TrFe,Tr,Fe
"[1562, 1209, 2349]","[1593, 1122, 2404]",LH TrFe,TrFe,Tr,Fe
"[1534, 1223, 2321]","[1576, 1149, 2371]",LH TrFe,TrFe,Tr,Fe
"[1502, 1216, 2317]","[1562, 1152, 2370]",LH TrFe,TrFe,Tr,Fe
"[1490, 1187, 2305]","[1604, 1101, 2422]",LH TrFe,TrFe,Tr,Fe
"[1496, 1167, 2333]","[1582, 1109, 2422]",LH TrFe,TrFe,Tr,Fe
"[1525, 1187, 2361]","[1580, 1121, 2410]",LH TrFe,TrFe,Tr,Fe
"[1501, 1180, 2354]","[1598, 1112, 2412]",LH TrFe,TrFe,Tr,Fe
"[1496, 1138, 2352]","[1591, 1093, 2439]",LH TrFe,TrFe,Tr,Fe
"[1500, 1099, 2370]","[1606, 1089, 2444]",LH TrFe,TrFe,Tr,Fe
"[1502, 1105, 2397]","[1586, 1077, 2464]",LH TrFe,TrFe,Tr,Fe
"[1502, 1078, 2415]","[1549, 1076, 2451]",LH TrFe,TrFe,Tr,Fe
"[1522, 1089, 2436]","[1564, 1077, 2470]",LH TrFe,TrFe,Tr,Fe
"[1519, 1117, 2410]","[1560, 1092, 2449]",LH TrFe,TrFe,Tr,Fe
"[1543, 1112, 2438]","[1569, 1089, 2462]",LH TrFe,TrFe,Tr,Fe
"[1513, 1049, 2450]","[1560, 1055, 2476]",LH TrFe,TrFe,Tr,Fe
"[1548, 1180, 2380]","[1591, 1109, 2426]",LH TrFe,TrFe,Tr,Fe
"[1581, 1197, 2376]","[1605, 1109, 2424]",LH TrFe,TrFe,Tr,Fe
"[1589, 1176, 2407]","[1609, 1115, 2433]",LH TrFe,TrFe,Tr,Fe
"[1630, 1178, 2398]","[1627, 1115, 2421]",LH TrFe,TrFe,Tr,Fe
"[1601, 1161, 2427]","[1611, 1111, 2441]",LH TrFe,TrFe,Tr,Fe
"[1576, 1140, 2438]","[1590, 1102, 2453]",LH TrFe,TrFe,Tr,Fe
"[1548, 1142, 2414]","[1576, 1105, 2444]",LH TrFe,TrFe,Tr,Fe
"[1554, 1128, 2435]","[1582, 1098, 2453]",LH TrFe,TrFe,Tr,Fe
"[1559, 1159, 2408]","[1581, 1117, 2439]",LH TrFe,TrFe,Tr,Fe
"[1580, 1002, 2407]","[1382, 667, 2581]",LH FeTi flexor,FeTi,Fe,Ti
"[1580, 980, 2416]","[1422, 715, 2561]",LH FeTi flexor,FeTi,Fe,Ti
"[1612, 1024, 2408]","[1390, 666, 2587]",LH FeTi flexor,FeTi,Fe,Ti
"[1590, 972, 2440]","[1457, 764, 2534]",LH FeTi flexor,FeTi,Fe,Ti
"[1583, 942, 2415]","[1392, 663, 2584]",LH FeTi flexor,FeTi,Fe,Ti
"[1584, 901, 2428]","[1420, 696, 2570]",LH FeTi flexor,FeTi,Fe,Ti
"[1587, 911, 2458]","[1420, 694, 2574]",LH FeTi flexor,FeTi,Fe,Ti
"[1575, 952, 2480]","[1438, 733, 2559]",LH FeTi flexor,FeTi,Fe,Ti
"[1555, 891, 2515]","[1339, 602, 2621]",LH FeTi flexor,FeTi,Fe,Ti
"[1558, 853, 2494]","[1331, 566, 2643]",LH FeTi flexor,FeTi,Fe,Ti
"[1573, 960, 2401]","[1392, 677, 2573]",LH FeTi flexor,FeTi,Fe,Ti
